,zone,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount,response,coverage,effective to date,employmentstatus,location code,marital status,months since last claim,months since policy inception,number of policies,policy,renew offer type,sales channel,vehicle size,vehicle type
3550,central,m,bachelor,4767.69,38144.0,72.0,0,corporate auto,,345.6,no,basic,1/28/11,unemployed,suburban,single,2.0,12.0,9.0,corporate l1,offer3,call center,,
3551,north west,f,high school or below,2854.27,34807.0,73.0,0,personal auto,two-door car,472.04,no,basic,2/10/11,employed,suburban,single,8.0,90.0,1.0,personal l3,offer1,agent,small,a
3552,central,f,college,13523.13,10563.0,121.0,0,corporate auto,suv,109.81,no,extended,1/19/11,medical leave,rural,divorced,20.0,10.0,2.0,corporate l2,offer1,branch,medsize,
3553,central,f,high school or below,8337.19,74460.0,69.0,0,corporate auto,two-door car,331.2,no,basic,2/16/11,employed,suburban,married,3.0,25.0,2.0,corporate l2,offer4,web,medsize,
3554,east,m,college,12759.28,68351.0,107.0,0,personal auto,suv,725.34,no,basic,1/20/11,employed,suburban,single,16.0,90.0,2.0,personal l2,offer1,branch,medsize,
3555,north west,f,college,5178.7,66943.0,65.0,1,special auto,four-door car,53.08,no,basic,2/2/11,employed,rural,married,33.0,10.0,7.0,special l2,offer3,call center,medsize,a
3556,north west,f,bachelor,7920.11,89284.0,67.0,3,personal auto,two-door car,321.6,no,basic,1/27/11,employed,suburban,married,7.0,31.0,2.0,personal l2,offer4,agent,small,
3557,west region,m,college,4650.06,28215.0,65.0,0,personal auto,two-door car,468.0,yes,basic,1/10/11,retired,suburban,single,15.0,26.0,3.0,personal l3,offer1,agent,medsize,
3558,west region,f,doctor,7638.44,66106.0,95.0,1,personal auto,two-door car,250.32,no,extended,1/18/11,employed,urban,married,10.0,25.0,4.0,personal l3,offer3,agent,small,a
3559,central,f,high school or below,5270.01,78115.0,65.0,0,personal auto,four-door car,255.45,no,basic,1/29/11,employed,urban,married,1.0,12.0,4.0,personal l3,offer2,branch,small,
3560,west region,m,high school or below,15190.65,38144.0,71.0,4,personal auto,four-door car,839.59,no,basic,2/12/11,unemployed,suburban,single,4.0,64.0,2.0,personal l3,offer2,call center,small,
3561,north west,f,bachelor,21903.91,22254.0,79.0,0,personal auto,four-door car,125.19,no,extended,2/26/11,employed,rural,married,22.0,75.0,2.0,personal l1,offer3,call center,large,
3562,north west,m,master,3238.0,60244.0,83.0,3,corporate auto,four-door car,326.28,yes,extended,1/16/11,employed,urban,married,3.0,72.0,1.0,corporate l3,offer3,agent,medsize,a
3563,north west,m,bachelor,31410.93,28013.0,266.0,0,personal auto,luxury car,1276.8,no,premium,2/10/11,employed,suburban,married,25.0,30.0,2.0,personal l2,offer2,branch,small,
3564,central,f,college,7469.15,38144.0,199.0,0,personal auto,luxury suv,1956.37,no,basic,1/14/11,unemployed,suburban,married,10.0,17.0,1.0,personal l3,offer2,call center,medsize,a
3565,east,m,high school or below,5043.8,35832.0,65.0,0,personal auto,four-door car,177.21,no,basic,1/1/11,employed,urban,divorced,1.0,44.0,7.0,personal l3,offer1,agent,medsize,
3566,north west,m,college,5578.52,27756.0,71.0,0,corporate auto,two-door car,735.73,no,basic,2/13/11,employed,suburban,married,6.0,52.0,8.0,corporate l3,offer1,agent,small,
3567,west region,f,bachelor,5205.26,53614.0,65.0,1,personal auto,four-door car,725.85,no,basic,1/4/11,employed,suburban,married,25.0,70.0,5.0,personal l1,offer1,agent,small,
3568,central,f,master,8396.33,38144.0,115.0,1,personal auto,,552.0,no,basic,2/21/11,unemployed,suburban,married,18.0,80.0,3.0,personal l2,offer3,web,,a
3569,west region,m,college,2580.85,46900.0,66.0,0,corporate auto,,316.8,yes,basic,2/9/11,employed,suburban,married,13.0,59.0,1.0,corporate l3,offer2,web,,
3570,north west,m,high school or below,8500.12,38144.0,119.0,0,personal auto,sports car,856.8,no,basic,2/10/11,unemployed,suburban,married,1.0,58.0,7.0,personal l3,offer2,agent,medsize,
3571,nan,f,high school or below,4777.12,38144.0,62.0,0,personal auto,four-door car,297.6,,basic,1/21/11,unemployed,suburban,married,15.0,80.0,3.0,personal l3,offer1,agent,medsize,
3572,north west,m,master,2726.8,31385.0,69.0,0,personal auto,four-door car,68.19,no,basic,2/23/11,employed,rural,divorced,31.0,5.0,1.0,personal l2,offer3,agent,medsize,a
3573,west region,m,college,3237.31,38144.0,90.0,0,personal auto,four-door car,659.44,no,extended,1/7/11,unemployed,suburban,single,19.0,91.0,1.0,personal l3,offer1,call center,medsize,a
3574,north west,m,college,4299.84,44388.0,113.0,1,personal auto,four-door car,496.84,no,premium,2/13/11,employed,urban,divorced,10.0,74.0,1.0,personal l2,offer1,call center,medsize,
3575,east,f,college,15435.69,84581.0,96.0,0,personal auto,,4.33,no,extended,2/25/11,employed,rural,married,25.0,50.0,2.0,personal l3,offer4,web,,a
3576,nan,m,bachelor,4863.47,52728.0,127.0,1,corporate auto,suv,609.6,,extended,2/4/11,employed,suburban,divorced,34.0,34.0,1.0,corporate l3,offer1,branch,medsize,
3577,west region,f,college,4727.83,38144.0,127.0,0,personal auto,suv,609.6,no,extended,1/11/11,unemployed,suburban,married,24.0,58.0,1.0,personal l2,offer1,agent,small,a
3578,north west,m,doctor,3103.0,31841.0,78.0,0,personal auto,four-door car,126.86,no,extended,2/25/11,employed,rural,married,24.0,11.0,1.0,personal l3,offer2,agent,medsize,
3579,west region,f,high school or below,32861.26,49889.0,118.0,0,personal auto,two-door car,201.55,no,premium,2/11/11,employed,rural,married,8.0,11.0,2.0,personal l3,offer4,agent,medsize,
3580,central,f,college,13575.68,48534.0,115.0,1,personal auto,suv,552.0,no,basic,1/23/11,employed,suburban,married,29.0,79.0,2.0,personal l3,offer4,call center,small,a
3581,north west,m,high school or below,5453.71,33818.0,72.0,4,personal auto,four-door car,341.88,no,basic,1/29/11,employed,urban,single,6.0,34.0,3.0,personal l3,offer2,agent,large,a
3582,central,m,high school or below,4893.98,25572.0,65.0,0,personal auto,four-door car,312.0,no,basic,1/21/11,disabled,suburban,married,0.0,30.0,3.0,personal l3,offer3,agent,medsize,
3583,west region,m,bachelor,7451.49,38144.0,107.0,0,personal auto,,770.4,no,basic,1/24/11,unemployed,suburban,single,6.0,63.0,8.0,personal l3,offer1,agent,,a
3584,central,m,college,4889.25,42536.0,63.0,0,personal auto,four-door car,375.33,no,basic,2/20/11,employed,suburban,divorced,30.0,57.0,6.0,personal l1,offer2,branch,medsize,a
3585,north west,f,college,2436.88,48875.0,61.0,0,personal auto,two-door car,1.84,no,basic,2/25/11,employed,rural,married,20.0,9.0,1.0,personal l1,offer1,call center,small,a
3586,nan,m,high school or below,7595.34,20538.0,104.0,0,personal auto,suv,499.2,,basic,1/8/11,retired,suburban,divorced,25.0,64.0,7.0,personal l1,offer1,agent,small,a
3587,central,f,bachelor,10395.71,38144.0,95.0,0,personal auto,four-door car,337.8,no,extended,2/10/11,unemployed,urban,married,22.0,59.0,2.0,personal l3,offer2,agent,medsize,
3588,north west,m,bachelor,2759.98,92296.0,69.0,0,personal auto,two-door car,331.2,yes,basic,1/3/11,employed,suburban,married,4.0,65.0,1.0,personal l1,offer2,agent,medsize,
3589,north west,f,doctor,32613.69,45173.0,268.0,0,personal auto,luxury car,1286.4,no,premium,2/14/11,employed,suburban,married,20.0,57.0,2.0,personal l3,offer3,call center,medsize,a
3590,north west,f,doctor,11154.68,31409.0,93.0,0,personal auto,four-door car,381.96,no,extended,1/28/11,employed,urban,married,10.0,50.0,2.0,personal l3,offer1,branch,medsize,a
3591,west region,m,college,20714.94,38144.0,203.0,0,corporate auto,luxury car,2027.72,no,extended,2/1/11,unemployed,suburban,single,20.0,66.0,2.0,corporate l1,offer1,branch,small,a
3592,west region,f,college,5021.69,69678.0,126.0,0,personal auto,sports car,306.82,no,extended,1/28/11,employed,rural,divorced,21.0,39.0,1.0,personal l2,offer3,agent,small,
3593,north west,m,high school or below,20294.39,38144.0,73.0,0,personal auto,two-door car,525.6,no,basic,1/29/11,unemployed,suburban,single,3.0,74.0,2.0,personal l3,offer3,branch,medsize,a
3594,central,m,master,8310.7,67541.0,104.0,0,personal auto,four-door car,203.89,no,premium,1/29/11,employed,rural,married,10.0,45.0,6.0,personal l3,offer4,agent,medsize,a
3595,central,f,bachelor,19512.0,38144.0,70.0,0,corporate auto,four-door car,491.11,no,basic,1/16/11,unemployed,suburban,single,28.0,26.0,2.0,corporate l3,offer2,web,medsize,a
3596,north west,m,college,2311.38,24641.0,61.0,0,corporate auto,four-door car,294.93,no,basic,1/28/11,medical leave,suburban,married,16.0,57.0,1.0,corporate l2,offer1,branch,medsize,
3597,east,f,bachelor,4097.37,20079.0,110.0,0,corporate auto,two-door car,528.0,no,premium,1/20/11,medical leave,suburban,single,1.0,63.0,1.0,corporate l3,offer1,web,medsize,a
3598,central,m,bachelor,5016.55,36313.0,67.0,2,personal auto,four-door car,300.38,no,basic,1/18/11,employed,urban,single,3.0,38.0,9.0,personal l2,offer1,agent,medsize,a
3599,north west,m,bachelor,4582.65,38144.0,67.0,0,personal auto,four-door car,321.6,no,basic,1/17/11,unemployed,suburban,divorced,27.0,7.0,7.0,personal l3,offer1,branch,medsize,a
3600,east,m,college,5926.73,23091.0,96.0,5,corporate auto,,460.8,yes,extended,1/25/11,retired,suburban,married,28.0,90.0,5.0,corporate l1,offer1,agent,,a
3601,west region,f,college,4298.66,76778.0,107.0,1,personal auto,suv,500.67,no,basic,1/28/11,employed,urban,married,31.0,46.0,1.0,personal l3,offer1,agent,small,
3602,central,m,college,5953.21,61006.0,74.0,0,corporate auto,four-door car,73.92,no,basic,2/2/11,employed,rural,married,6.0,99.0,9.0,corporate l3,offer2,branch,medsize,a
3603,north west,m,high school or below,40636.67,31267.0,129.0,0,personal auto,sports car,619.2,no,extended,1/15/11,employed,suburban,married,4.0,45.0,2.0,personal l2,offer4,web,large,
3604,central,m,high school or below,7350.93,69241.0,93.0,0,personal auto,four-door car,111.25,no,extended,1/20/11,employed,rural,divorced,2.0,63.0,3.0,personal l3,offer1,agent,medsize,
3605,central,m,bachelor,5913.31,43676.0,76.0,0,personal auto,four-door car,364.8,no,extended,1/23/11,employed,suburban,single,19.0,7.0,3.0,personal l3,offer1,agent,medsize,a
3606,north west,f,high school or below,2677.5,71684.0,66.0,0,personal auto,two-door car,196.07,no,basic,1/1/11,employed,urban,married,7.0,17.0,1.0,personal l3,offer2,web,medsize,
3607,west region,m,high school or below,8754.23,51209.0,109.0,0,personal auto,suv,39.5,no,basic,2/6/11,employed,rural,married,35.0,3.0,6.0,personal l3,offer1,call center,medsize,a
3608,north west,m,doctor,4670.05,38144.0,125.0,0,corporate auto,suv,600.0,no,extended,2/25/11,unemployed,suburban,married,21.0,34.0,1.0,corporate l3,offer1,branch,medsize,
3609,west region,f,bachelor,12522.54,44341.0,105.0,0,personal auto,sports car,355.11,no,basic,2/11/11,employed,urban,married,15.0,56.0,2.0,personal l2,offer1,agent,medsize,
3610,central,f,high school or below,4374.04,34516.0,113.0,3,special auto,four-door car,42.95,no,premium,1/14/11,employed,rural,married,12.0,70.0,1.0,special l2,offer4,branch,medsize,a
3611,north west,m,bachelor,4938.89,36913.0,62.0,0,personal auto,four-door car,90.57,no,basic,1/17/11,employed,rural,married,22.0,37.0,9.0,personal l1,offer2,branch,medsize,a
3612,north west,f,high school or below,4250.28,38144.0,61.0,1,corporate auto,four-door car,292.8,yes,basic,1/18/11,unemployed,suburban,single,17.0,1.0,7.0,corporate l3,offer1,agent,small,a
3613,west region,f,high school or below,4254.62,11904.0,61.0,2,corporate auto,two-door car,292.8,yes,basic,2/3/11,disabled,suburban,single,34.0,11.0,3.0,corporate l3,offer1,web,small,
3614,north west,m,bachelor,7757.92,49682.0,101.0,0,personal auto,suv,198.84,no,basic,1/4/11,employed,rural,single,30.0,49.0,3.0,personal l2,offer1,web,medsize,
3615,central,f,college,4171.19,37478.0,105.0,0,personal auto,,653.69,no,basic,1/27/11,employed,suburban,married,4.0,53.0,1.0,personal l1,offer1,agent,,a
3616,nan,m,high school or below,6878.01,39020.0,87.0,0,corporate auto,four-door car,485.01,,extended,2/5/11,employed,suburban,married,0.0,4.0,5.0,corporate l1,offer3,agent,small,
3617,west region,m,high school or below,6582.29,10738.0,109.0,4,personal auto,four-door car,852.26,no,premium,1/17/11,retired,suburban,single,5.0,36.0,3.0,personal l3,offer1,agent,medsize,
3618,west region,m,high school or below,3475.07,38144.0,96.0,0,personal auto,two-door car,460.8,no,extended,1/20/11,unemployed,suburban,married,6.0,60.0,1.0,personal l1,offer4,web,large,a
3619,west region,m,college,7572.24,12876.0,107.0,2,corporate auto,four-door car,425.96,no,premium,2/2/11,disabled,urban,married,8.0,90.0,3.0,corporate l3,offer1,call center,large,a
3620,west region,f,master,7396.28,71135.0,92.0,1,personal auto,four-door car,270.56,no,extended,2/19/11,employed,urban,married,11.0,64.0,3.0,personal l3,offer1,branch,medsize,
3621,north west,m,bachelor,4492.52,38144.0,65.0,0,personal auto,two-door car,312.0,no,basic,2/12/11,unemployed,suburban,single,8.0,81.0,3.0,personal l2,offer1,branch,medsize,a
3622,west region,f,bachelor,3673.53,69555.0,92.0,0,personal auto,four-door car,255.28,no,extended,1/31/11,employed,urban,single,16.0,59.0,1.0,personal l2,offer1,agent,medsize,
3623,west region,m,bachelor,9175.17,68164.0,119.0,2,personal auto,four-door car,222.58,no,premium,1/28/11,employed,rural,single,27.0,37.0,6.0,personal l3,offer1,agent,small,
3624,east,f,college,17786.28,99790.0,64.0,0,personal auto,four-door car,178.99,no,basic,1/22/11,employed,urban,single,24.0,8.0,2.0,personal l3,offer3,call center,medsize,a
3625,west region,m,bachelor,5608.82,28483.0,72.0,0,corporate auto,four-door car,345.6,no,basic,2/17/11,employed,suburban,married,18.0,92.0,5.0,corporate l2,offer3,agent,medsize,
3626,nan,f,bachelor,2563.86,38144.0,69.0,0,personal auto,four-door car,97.69,,basic,1/9/11,unemployed,rural,married,13.0,74.0,1.0,personal l3,offer4,web,medsize,a
3627,north west,m,college,6006.44,39482.0,77.0,0,corporate auto,four-door car,277.91,no,extended,2/17/11,employed,urban,divorced,29.0,48.0,5.0,corporate l2,offer1,agent,medsize,
3628,central,f,college,6755.08,29881.0,85.0,0,personal auto,four-door car,17.92,no,extended,1/24/11,employed,rural,married,27.0,95.0,6.0,personal l2,offer1,call center,medsize,a
3629,north west,m,bachelor,7094.16,72878.0,61.0,2,corporate auto,two-door car,45.46,no,basic,1/4/11,employed,rural,married,0.0,58.0,2.0,corporate l3,offer2,agent,medsize,
3630,central,m,high school or below,3402.39,38144.0,99.0,0,personal auto,two-door car,475.2,no,extended,2/16/11,unemployed,suburban,single,16.0,20.0,1.0,personal l2,offer1,agent,medsize,a
3631,west region,f,high school or below,6599.08,36060.0,165.0,0,special auto,sports car,774.56,no,premium,1/30/11,employed,urban,married,27.0,55.0,1.0,special l3,offer2,call center,medsize,a
3632,central,f,college,5964.35,98078.0,73.0,0,personal auto,four-door car,418.69,no,basic,1/28/11,employed,suburban,married,5.0,79.0,6.0,personal l1,offer1,agent,large,a
3633,central,m,high school or below,14432.75,24561.0,126.0,0,personal auto,suv,853.47,no,extended,2/19/11,disabled,suburban,married,1.0,31.0,2.0,personal l1,offer2,branch,small,
3634,west region,m,bachelor,2842.27,69417.0,73.0,1,personal auto,four-door car,30.87,no,basic,2/13/11,employed,rural,divorced,30.0,78.0,1.0,personal l1,offer1,branch,small,
3635,north west,m,college,5087.02,38144.0,72.0,0,personal auto,four-door car,345.6,no,basic,1/25/11,unemployed,suburban,married,12.0,70.0,3.0,personal l1,offer2,web,medsize,
3636,west region,m,college,20878.41,50555.0,88.0,0,personal auto,four-door car,422.4,no,extended,1/20/11,employed,suburban,divorced,9.0,45.0,2.0,personal l2,offer4,web,large,a
3637,north west,f,high school or below,4300.9,88590.0,107.0,0,personal auto,two-door car,41.72,no,premium,1/6/11,employed,rural,married,0.0,57.0,1.0,personal l2,offer3,branch,medsize,a
3638,west region,m,college,10330.44,56480.0,87.0,0,personal auto,four-door car,384.7,no,extended,1/9/11,employed,urban,married,13.0,62.0,2.0,personal l3,offer1,call center,medsize,a
3639,north west,f,high school or below,8204.86,38144.0,73.0,0,personal auto,four-door car,350.4,no,basic,1/2/11,unemployed,suburban,married,9.0,14.0,2.0,personal l2,offer1,agent,medsize,a
3640,west region,m,college,8954.43,34614.0,114.0,0,personal auto,four-door car,547.2,no,premium,2/18/11,employed,suburban,married,6.0,9.0,3.0,personal l3,offer3,branch,small,
3641,central,f,high school or below,5597.12,37995.0,139.0,0,personal auto,suv,667.2,yes,extended,1/27/11,employed,suburban,married,16.0,50.0,1.0,personal l3,offer1,branch,medsize,
3642,central,f,bachelor,10346.32,38144.0,98.0,0,personal auto,four-door car,470.4,no,extended,2/13/11,unemployed,suburban,single,1.0,15.0,2.0,personal l3,offer1,agent,large,
3643,central,m,high school or below,2785.42,66378.0,71.0,0,corporate auto,two-door car,158.0,no,basic,1/18/11,employed,rural,divorced,20.0,61.0,1.0,corporate l3,offer2,call center,medsize,a
3644,west region,m,bachelor,6189.99,59523.0,78.0,1,personal auto,four-door car,343.79,no,extended,1/23/11,employed,urban,married,0.0,62.0,8.0,personal l1,offer1,branch,large,
3645,west region,f,bachelor,5235.57,71794.0,131.0,0,personal auto,,457.47,no,extended,2/21/11,employed,urban,married,19.0,48.0,1.0,personal l3,offer2,web,,a
3646,west region,f,bachelor,2241.46,38144.0,65.0,0,corporate auto,four-door car,312.0,no,basic,1/3/11,unemployed,suburban,single,22.0,93.0,1.0,corporate l1,offer1,agent,medsize,a
3647,central,f,college,9180.15,47663.0,114.0,0,personal auto,sports car,103.7,no,basic,1/23/11,employed,rural,divorced,35.0,24.0,8.0,personal l3,offer1,branch,medsize,
3648,central,f,master,2540.55,37125.0,63.0,0,personal auto,four-door car,290.91,no,basic,1/23/11,employed,urban,married,29.0,78.0,1.0,personal l2,offer2,agent,large,a
3649,west region,f,bachelor,12741.85,73054.0,106.0,1,personal auto,suv,419.37,yes,basic,1/7/11,employed,urban,married,34.0,36.0,2.0,personal l2,offer1,branch,medsize,a
3650,north west,m,master,9547.71,34919.0,82.0,1,personal auto,four-door car,277.87,no,extended,2/15/11,employed,urban,single,14.0,99.0,2.0,personal l3,offer1,web,medsize,
3651,west region,m,college,2636.98,31911.0,67.0,0,personal auto,four-door car,321.6,no,basic,1/29/11,employed,suburban,married,33.0,27.0,1.0,personal l3,offer2,agent,medsize,
3652,west region,f,bachelor,10297.0,38144.0,138.0,0,personal auto,suv,666.98,no,extended,1/27/11,unemployed,suburban,single,11.0,84.0,9.0,personal l2,offer2,call center,large,
3653,west region,f,bachelor,10110.78,15752.0,90.0,0,corporate auto,two-door car,339.34,no,extended,2/16/11,medical leave,urban,married,27.0,37.0,2.0,corporate l3,offer1,branch,large,a
3654,north west,m,doctor,5334.18,72960.0,68.0,1,personal auto,four-door car,143.54,no,basic,2/2/11,employed,rural,single,11.0,17.0,5.0,personal l2,offer1,branch,medsize,
3655,north west,f,college,2908.88,35895.0,73.0,0,personal auto,four-door car,312.92,no,basic,1/29/11,employed,urban,married,11.0,51.0,1.0,personal l3,offer2,agent,medsize,
3656,west region,m,high school or below,4634.73,38144.0,62.0,0,personal auto,four-door car,297.6,no,basic,1/6/11,unemployed,suburban,married,29.0,59.0,3.0,personal l2,offer3,call center,medsize,
3657,central,f,bachelor,27789.69,33806.0,89.0,0,corporate auto,four-door car,395.73,yes,extended,1/20/11,employed,urban,divorced,32.0,59.0,2.0,corporate l3,offer2,web,medsize,a
3658,north west,f,bachelor,3147.97,29698.0,83.0,2,personal auto,four-door car,215.88,no,extended,1/2/11,employed,urban,divorced,17.0,89.0,1.0,personal l3,offer3,branch,large,a
3659,west region,m,college,8052.24,78617.0,101.0,0,corporate auto,four-door car,233.17,no,premium,1/25/11,employed,rural,married,3.0,95.0,3.0,corporate l1,offer4,web,medsize,a
3660,north west,m,college,4835.78,36655.0,61.0,0,personal auto,four-door car,295.22,no,basic,1/29/11,employed,suburban,married,15.0,81.0,9.0,personal l3,offer1,web,small,a
3661,east,f,high school or below,5435.77,38144.0,73.0,0,personal auto,four-door car,626.12,no,basic,2/13/11,unemployed,suburban,single,12.0,71.0,4.0,personal l1,offer2,branch,small,
3662,central,m,bachelor,4579.61,40160.0,118.0,1,personal auto,four-door car,566.4,no,premium,1/13/11,employed,suburban,married,7.0,48.0,1.0,personal l2,offer2,call center,small,a
3663,north west,m,bachelor,4762.82,65795.0,62.0,1,corporate auto,two-door car,49.01,no,basic,1/12/11,employed,rural,single,2.0,85.0,3.0,corporate l3,offer3,call center,medsize,
3664,north west,f,bachelor,2959.82,69746.0,74.0,0,personal auto,four-door car,225.03,no,basic,2/27/11,employed,urban,divorced,17.0,91.0,1.0,personal l1,offer1,call center,medsize,a
3665,west region,f,bachelor,2392.11,17870.0,61.0,0,corporate auto,four-door car,439.2,no,basic,2/5/11,disabled,suburban,married,30.0,91.0,1.0,corporate l2,offer2,branch,medsize,a
3666,west region,m,bachelor,4755.37,21808.0,119.0,0,special auto,suv,571.2,no,basic,2/1/11,employed,suburban,married,0.0,71.0,1.0,special l3,offer2,call center,medsize,
3667,west region,f,college,5553.19,33255.0,138.0,0,personal auto,,662.4,no,extended,2/10/11,employed,suburban,married,0.0,20.0,1.0,personal l1,offer1,branch,,
3668,central,m,high school or below,6806.49,37839.0,86.0,0,personal auto,two-door car,465.63,no,extended,1/21/11,employed,suburban,married,35.0,77.0,9.0,personal l3,offer2,branch,medsize,a
3669,central,f,high school or below,3731.5,38144.0,96.0,0,personal auto,four-door car,460.8,yes,extended,2/24/11,unemployed,suburban,married,31.0,34.0,1.0,personal l3,offer1,agent,large,
3670,central,m,high school or below,8481.31,67197.0,74.0,3,personal auto,two-door car,275.61,no,basic,1/2/11,employed,urban,divorced,29.0,18.0,2.0,personal l3,offer1,branch,medsize,
3671,west region,m,bachelor,7710.91,77642.0,64.0,0,personal auto,two-door car,282.15,no,basic,1/15/11,employed,urban,married,20.0,14.0,2.0,personal l3,offer1,branch,large,a
3672,central,m,college,5926.73,23091.0,96.0,5,personal auto,four-door car,460.8,yes,extended,1/25/11,retired,suburban,married,28.0,90.0,5.0,personal l3,offer1,agent,medsize,a
3673,nan,f,high school or below,6514.43,77135.0,84.0,3,personal auto,four-door car,98.37,,extended,2/16/11,employed,rural,divorced,3.0,37.0,8.0,personal l3,offer2,web,medsize,
3674,west region,f,college,2834.65,24506.0,71.0,0,personal auto,two-door car,511.2,no,basic,2/2/11,employed,suburban,divorced,7.0,47.0,1.0,personal l1,offer1,agent,medsize,
3675,west region,m,high school or below,5838.9,81082.0,73.0,0,personal auto,four-door car,281.3,yes,basic,1/6/11,employed,urban,married,5.0,85.0,4.0,personal l2,offer2,agent,large,a
3676,central,f,master,7218.38,45356.0,90.0,0,personal auto,four-door car,462.04,no,extended,2/23/11,employed,suburban,single,31.0,30.0,3.0,personal l3,offer2,call center,medsize,a
3677,central,m,college,5498.94,22520.0,73.0,0,personal auto,four-door car,350.4,yes,basic,2/5/11,medical leave,suburban,married,17.0,64.0,3.0,personal l3,offer1,branch,medsize,
3678,north west,m,bachelor,4652.6,47590.0,119.0,0,special auto,suv,121.33,no,basic,1/5/11,employed,rural,single,14.0,25.0,1.0,special l3,offer1,branch,medsize,a
3679,central,m,bachelor,3895.03,52361.0,102.0,0,personal auto,four-door car,645.95,no,premium,2/17/11,employed,suburban,single,13.0,78.0,1.0,personal l3,offer3,agent,medsize,
3680,west region,m,college,10952.13,23748.0,99.0,0,personal auto,four-door car,607.1,no,extended,2/16/11,medical leave,suburban,married,0.0,24.0,2.0,personal l2,offer2,agent,large,
3681,north west,m,master,13024.13,38144.0,125.0,0,personal auto,suv,900.0,yes,extended,1/31/11,unemployed,suburban,single,6.0,61.0,2.0,personal l1,offer1,agent,small,a
3682,west region,m,bachelor,8099.84,25949.0,104.0,0,personal auto,suv,499.2,no,basic,2/11/11,employed,suburban,married,0.0,28.0,3.0,personal l2,offer2,branch,small,a
3683,west region,f,bachelor,2248.45,24910.0,63.0,1,personal auto,four-door car,347.86,yes,basic,1/29/11,retired,suburban,single,7.0,63.0,1.0,personal l1,offer1,branch,medsize,
3684,east,f,bachelor,5749.88,22814.0,73.0,0,personal auto,four-door car,360.77,no,basic,2/22/11,employed,suburban,divorced,16.0,59.0,9.0,personal l3,offer2,agent,small,
3685,north west,f,master,5403.55,27430.0,68.0,0,personal auto,two-door car,184.96,no,basic,1/14/11,employed,urban,married,25.0,12.0,4.0,personal l2,offer3,call center,medsize,a
3686,north west,m,high school or below,6620.44,25075.0,86.0,0,personal auto,four-door car,412.8,no,extended,2/12/11,employed,suburban,single,0.0,25.0,3.0,personal l3,offer4,agent,medsize,
3687,nan,f,college,22448.69,38144.0,78.0,0,special auto,four-door car,561.6,,extended,1/30/11,unemployed,suburban,single,7.0,63.0,2.0,special l2,offer1,agent,medsize,
3688,central,f,college,6861.28,38144.0,71.0,3,personal auto,two-door car,476.2,no,basic,1/10/11,unemployed,suburban,single,11.0,21.0,2.0,personal l3,offer4,call center,medsize,a
3689,north west,m,high school or below,5619.69,38144.0,153.0,0,personal auto,suv,1027.0,yes,premium,1/26/11,unemployed,suburban,married,25.0,5.0,1.0,personal l3,offer2,web,medsize,a
3690,central,m,bachelor,2554.19,38144.0,72.0,2,personal auto,two-door car,345.6,no,basic,1/17/11,unemployed,suburban,married,16.0,48.0,1.0,personal l1,offer1,branch,large,
3691,east,f,bachelor,6727.62,39428.0,84.0,2,personal auto,two-door car,72.33,no,extended,1/7/11,employed,rural,married,19.0,80.0,8.0,personal l3,offer2,branch,large,a
3692,west region,m,bachelor,4222.98,38144.0,63.0,0,personal auto,two-door car,302.4,no,basic,2/15/11,unemployed,suburban,single,26.0,78.0,7.0,personal l1,offer1,agent,small,a
3693,west region,m,college,7019.18,26806.0,63.0,0,personal auto,four-door car,302.4,yes,basic,1/23/11,retired,suburban,married,32.0,19.0,2.0,personal l3,offer1,agent,medsize,
3694,central,f,high school or below,3919.37,66676.0,97.0,0,personal auto,four-door car,558.1,yes,extended,1/5/11,employed,suburban,married,0.0,40.0,1.0,personal l3,offer3,agent,small,a
3695,west region,m,master,5565.89,90607.0,70.0,0,personal auto,four-door car,311.51,no,basic,1/1/11,employed,urban,single,8.0,89.0,3.0,personal l2,offer2,web,medsize,
3696,central,f,high school or below,5809.26,26975.0,73.0,0,personal auto,two-door car,548.33,no,basic,1/30/11,employed,suburban,married,14.0,59.0,5.0,personal l3,offer4,web,small,
3697,central,m,college,10049.29,58194.0,84.0,0,personal auto,four-door car,451.0,no,extended,1/22/11,employed,suburban,married,26.0,23.0,2.0,personal l3,offer2,web,small,
3698,west region,m,college,5284.51,71960.0,67.0,0,personal auto,two-door car,151.5,no,basic,2/25/11,employed,rural,single,12.0,40.0,9.0,personal l1,offer2,call center,medsize,a
3699,central,m,bachelor,14325.15,38144.0,136.0,0,personal auto,suv,652.8,no,extended,2/11/11,unemployed,suburban,married,30.0,75.0,2.0,personal l2,offer1,agent,medsize,a
3700,central,f,bachelor,9971.02,57483.0,82.0,0,personal auto,four-door car,540.07,no,extended,2/17/11,employed,suburban,married,4.0,59.0,2.0,personal l3,offer1,branch,small,
3701,central,m,high school or below,7887.82,32150.0,98.0,0,personal auto,two-door car,470.4,no,extended,1/17/11,employed,suburban,married,21.0,64.0,8.0,personal l3,offer1,call center,medsize,a
3702,west region,m,bachelor,2410.5,41842.0,61.0,0,corporate auto,two-door car,292.8,no,basic,1/16/11,employed,suburban,married,1.0,14.0,1.0,corporate l3,offer2,call center,medsize,
